"Prevotella","Phascolarctobacterium","Eubacterium","Alistipes","Akkermansia","Roseburia","Faecalibacterium","Ruminococcus","Oscillospira","Peptoniphilus","Parabacteroides","Blautia","Lachnospira","Escherichia","Coprococcus"
0,0,0,+1,0,0,0,0,0,-1,+1,-1,0,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,+1,0,0,0,0,0,0
0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,+1,0
0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1
-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,+1,0,0,0,0,+1,0,0,0,0,0,0,0
-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
0,0,0,0,0,0,-1,0,0,+1,0,+1,0,+1,+1
-1,0,0,0,0,+1,0,0,0,0,+1,0,+1,0,0
0,0,0,0,0,-1,0,0,0,-1,+1,0,0,-1,0
